# Simulation 1 (Up to date)
# 481 data points written for 4 variables.
# Simulation warnings:
#   Recovery device deployment at high speed (27.1 m/s)
#
# Time (s),Altitude (m),Vertical velocity (m/s),Vertical acceleration (m/s²)
0,0,0,-8.4943
0.01,0,0,-7.8281
0.02,0,0,-5.3708
0.03,0,0,25.337
0.04,0.001267,0.2534,62.039
0.05,0.0069036,0.87395,77.837
0.06,0.019536,1.6526,71.86
0.07,0.039656,2.3715,54.566
0.08,0.0661,2.9173,49.603
0.09,0.097754,3.4135,50.641
0.1,0.13442,3.92,52.832
0.11,0.17626,4.4485,54.409
0.12,0.22347,4.9927,55.988
0.13,0.2762,5.5528,57.568
0.14,0.3346,6.1286,59.148
0.15,0.39885,6.7203,60.729
0.16,0.46909,7.3277,62.311
0.17,0.54548,7.951,63.894
0.18,0.62819,8.5901,65.478
0.19,0.71736,9.2451,67.062
0.2,0.81317,9.9159,68.091
0.21,0.91573,10.597,68.568
0.22,1.0251,11.283,69.046
0.23,1.1414,11.974,69.524
0.24,1.2646,12.669,70.002
0.25,1.3948,13.369,70.479
0.26,1.532,14.074,70.957
0.275,1.7511,15.14,71.779
0.2975,2.11,16.759,72.608
0.33125,2.717,19.212,72.674
0.38125,3.7685,22.85,72.811
0.43125,5.0022,26.495,73.167
0.48125,6.4185,30.158,73.558
0.53125,8.0184,33.84,74.035
0.58125,9.8031,37.546,74.603
0.63125,11.774,41.28,75.507
0.68125,13.932,45.059,76.251
0.73125,16.28,48.874,76.318
0.78125,18.82,52.692,76.359
0.83125,21.55,56.512,76.6
0.88125,24.471,60.343,76.819
0.93125,27.584,64.185,76.935
0.98125,30.89,68.031,77.016
1.0313,34.388,71.882,77.036
1.0813,38.078,75.733,76.793
1.1313,41.961,79.572,75.637
1.1813,46.034,83.354,74.595
1.2313,50.295,87.083,74.296
1.2813,54.742,90.797,74.096
1.3313,59.374,94.501,74.034
1.3813,64.192,98.202,73.863
1.4313,69.194,101.89,73.281
1.4813,74.381,105.56,72.66
1.5313,79.749,109.19,72.127
1.5813,85.299,112.79,71.654
1.6313,91.028,116.37,71.448
1.6813,96.935,119.93,70.997
1.7313,103.02,123.48,69.607
